MONTH,FUNERAL,2017,2019,2021,2020,2018,2016
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,-,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,DIRETO,0,0,1,0,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,DIRETO,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,DIRETO,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,DIRETO,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,DIRETO,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,DIRETO,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,DIRETO,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,DIRETO,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,DIRETO,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,1,0,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,DIRETO,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,DIRETO,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,DIRETO,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
01,-,0,0,0,0,1,0
